"","text"
"1"," id quote rating date reviewnospace "
"2"," rn indonesia yesterday"
"3"," worst airlines delayed half hours excuse whatsoever finally flew ac working staff rude "
"4"," rn efficient ground crew late lttle cramp budget days ago"
"5"," check fast ground crew efficient comparing lousy ground crew cebu pacific counters open workers moved slow motion pace expect budget short ride worth "
"6"," rn frequent delay days ago"
"7"," booked due time delayed hours common delayed leg room terrible tall person seats uncomfortable change time earlier recently called customer service number indonesia "
"8"," rn dont waste time money days ago"
"9"," travelling indonesia month internal flights operators indonesia airlines group worst multiple group flights delays staff knowing staff directed wrong gate "
"10"," rn late usual days ago"
"11"," aduh wanted garuda schedule suit alternative delay hours stuck bandung airport aspect trip "
"12"," rn mr days ago"
"13"," terrible services case schedule supposed pm yogyakarta bali arround pmbut telling customer delayed hrwas horrible feels dont put efforts customeri disappointed definetly "
"14"," rn time small plane light landing week ago"
"15"," bit cautious hr boat trip cost time nice easy landing good price fly "
"16"," rn worst week ago"
"17"," hours late finally engine failed runway organization communication kind sat finally managed jakarta horribly uncomfortable conditioned missed connecting flights border hours "
"18"," rn communication awful fine week ago"
"19"," fact changed hrs early actual fine realised checked online taking check checking online avoiding annoyance missing knew check "
"20"," rn worst week ago"
"21"," wanna worst love passenger waiting long airport wait till hours boarding son years tired travelled ujung pandang yogyakarta june delayed hours "
"22"," rn kg baggage option upgarde online week ago"
"23"," gonna book flights found impossible answer baggage shows kg good flying overseas carriers offee heavier baggage charge shows booked flights carriers "
"24"," rn pay week ago"
"25"," budget surprised level service received staff check counter slow gate information wasn properly displayed planes weren spacious clean paid ticket pay fly "
"26"," rn swindler week ago"
"27"," buy ticket higher price arrived earlier yesterday evening pm called inform change changed arrived hours late supposed ’ve cost "
"28"," rn nice budget airlines week ago"
"29"," budget airlines gonna give free kgs luggage person cheap price online check international "
"30"," rn time weeks ago"
"31"," time st time time airlines good job works "
"32"," rn delay guaranteed weeks ago"
"33"," trip indonesia flights delayed book connecting flights change time time informing changed leave hour earlier finally left hours "
"34"," rn cheap free baggage meal weeks ago"
"35"," cheap fare free kg luggage allowance seating area narrow acceptable short distance travel inflight entertainment time fare include meals drinks sell cheap efficient reliable "
"36"," rn worst planet weeks ago"
"37"," sit gate entering hour delay min allowed collection disorganised rude lazy charlatans run arrived airport told wasn’ reason half hour delay "
"38"," rn delay weeks ago"
"39"," time taking airlines worst service delay mins boarding time estimated delay time hours aircraft supposed fly kul leave kul cgk "
"40"," rn worst indonesia weeks ago"
"41"," hours delay bali lombokwe change times gate delay don apologize garuda avoid "
"42"," rn multiple bad experience weeks ago"
"43"," singapore jakarta wasn bus pick passengers plane terminal send cars pick causing long wait people rushing cars reason flew day cheap scoot jetstar pricier "
"44"," rn worst weeks ago"
"45"," worst medan lombok transit jakarta original medan jakarta cancelled moved hour find minutes delay couldn catch original jakarta lombok "
"46"," rn disappointed weeks ago"
"47"," smooth dps jt july return jt july mess scheduled depart jakarta dps departed response staff checking ’ light snack box sitting "
"48"," rn consistent consistently bad weeks ago"
"49"," delay normal thing stands late flying supposed plane hours delayed excellent apologies smile empathy food cold bread cake hard exceptional service passengers played "
"50"," rn pay weeks ago"
"51"," ’ make simple pay service bag plane safe destination sell water snack board flights delayed destination money expect long queuing lines "
"52"," rn chronically worst weeks ago"
"53"," addition sound repetitive reviewers commented late minutes business meeting due delay boarding time morning told delayed minutes ended minutes "
"54"," rn delayed history time weeks ago"
"55"," sat lombok airport supposedly taking minutes left previous destination hours late coming lombok hours late back absolute joke chronic delay problems single hour delayed "
"56"," rn worst weeks ago"
"57"," travelling singapore bali jakarta arrived check refused entry plane proof leaving bali told planning extend visas month leaving asked "
"58"," rn worst airlome weeks ago"
