"","klasifikasi","score","text"
"1","Netral",0," id quote rating date reviewnospace "
"2","Netral",0," rn indonesia yesterday"
"3","Negatif",-4," worst airlines delayed half hours excuse whatsoever finally flew ac working staff rude "
"4","Netral",0," rn efficient ground crew late lttle cramp budget days ago"
"5","Positif",1," check fast ground crew efficient comparing lousy ground crew cebu pacific counters open workers moved slow motion pace expect budget short ride worth "
"6","Negatif",-1," rn frequent delay days ago"
"7","Negatif",-4," booked due time delayed hours common delayed leg room terrible tall person seats uncomfortable change time earlier recently called customer service number indonesia "
"8","Negatif",-1," rn dont waste time money days ago"
"9","Negatif",-3," travelling indonesia month internal flights operators indonesia airlines group worst multiple group flights delays staff knowing staff directed wrong gate "
"10","Netral",0," rn late usual days ago"
"11","Negatif",-2," aduh wanted garuda schedule suit alternative delay hours stuck bandung airport aspect trip "
"12","Netral",0," rn mr days ago"
"13","Negatif",-4," terrible services case schedule supposed pm yogyakarta bali arround pmbut telling customer delayed hrwas horrible feels dont put efforts customeri disappointed definetly "
"14","Netral",0," rn time small plane light landing week ago"
"15","Positif",3," bit cautious hr boat trip cost time nice easy landing good price fly "
"16","Negatif",-1," rn worst week ago"
"17","Negatif",-3," hours late finally engine failed runway organization communication kind sat finally managed jakarta horribly uncomfortable conditioned missed connecting flights border hours "
"18","Netral",0," rn communication awful fine week ago"
"19","Netral",0," fact changed hrs early actual fine realised checked online taking check checking online avoiding annoyance missing knew check "
"20","Negatif",-1," rn worst week ago"
"21","Negatif",-2," wanna worst love passenger waiting long airport wait till hours boarding son years tired travelled ujung pandang yogyakarta june delayed hours "
"22","Netral",0," rn kg baggage option upgarde online week ago"
"23","Netral",0," gonna book flights found impossible answer baggage shows kg good flying overseas carriers offee heavier baggage charge shows booked flights carriers "
"24","Netral",0," rn pay week ago"
"25","Positif",2," budget surprised level service received staff check counter slow gate information wasn properly displayed planes weren spacious clean paid ticket pay fly "
"26","Netral",0," rn swindler week ago"
"27","Netral",0," buy ticket higher price arrived earlier yesterday evening pm called inform change changed arrived hours late supposed ’ve cost "
"28","Positif",1," rn nice budget airlines week ago"
"29","Netral",0," budget airlines gonna give free kgs luggage person cheap price online check international "
"30","Netral",0," rn time weeks ago"
"31","Positif",2," time st time time airlines good job works "
"32","Negatif",-1," rn delay guaranteed weeks ago"
